subfield_id,subfield_name,field_name,scope,includes,excludes,flagship_journals,wikipedia_anchor,card_confidence
1111,Soil Science,Agricultural and Biological Sciences,"Study of soil formation, composition, chemistry, biology, and physical properties, and their management for agricultural and land-use purposes, including soil fertility, pedology, and soil-plant nutrient relationships.",pedology and soil classification; soil chemistry and fertility; soil microbiology and biology; soil physics and hydrology; soil erosion and conservation; soil-plant nutrient cycling; land management and soil quality assessment,crop management practices beyond the soil-nutrient relationship -> Agronomy and Crop Science,Soil Biology and Biochemistry; European Journal of Soil Science; Geoderma; Plant and Soil,https://en.wikipedia.org/wiki/Soil_science,high
1200,General Arts and Humanities,Arts and Humanities,"Last-resort bucket for humanities and arts research that is genuinely interdisciplinary or does not fit cleanly into one of the other Arts and Humanities subfields (History, Philosophy, Literature, Music, Visual and Performing Arts, Archeology, Classics, Language and Linguistics, Museology, Religious studies). Covers broad humanities scholarship, cultural studies, and cross-cutting humanities theory or method.",interdisciplinary humanities scholarship; cross-cutting humanities theory and method; mythology and folklore studies; general arts scholarship and criticism; humanities pedagogy and curriculum; area/regional studies with a humanities lens; digital humanities methods,"critical/theoretical analysis of culture, identity, ideology and representation -> Cultural Studies ; interdisciplinary social research whose object is society, institutions or policy rather than humanistic interpretation -> General Social Sciences ; religion, theology and religious traditions as the object -> Religious studies",,https://en.wikipedia.org/wiki/Humanities,medium
1202,History,Arts and Humanities,"The study and narration of past human events, societies, and change over time through documentary and archival evidence. Covers political, social, cultural, intellectual, and institutional history across periods and regions, including the history of specific domains (medicine, education, religion) when the framing is historical rather than disciplinary.","political and social history; cultural and intellectual history; history of institutions and religion; regional and national historiography; history of specific domains (medicine, education) told as history; early modern and modern historical studies","history of scientific ideas, methods, and institutions specifically, and philosophy of science -> History and Philosophy of Science ; ancient Greco-Roman history and classical civilization specifically -> Classics ; archaeological excavation and material-culture methods as the primary focus -> Archeology ; collective memory, testimony and memory politics analysed through cultural theory rather than historiography -> Cultural Studies",American Historical Review; Journal of Modern History; Past & Present,https://en.wikipedia.org/wiki/History,high
1203,Language and Linguistics,Arts and Humanities,"The scientific and humanistic study of human language: its structure, meaning, use, acquisition, history, and evolution. Covers theoretical, descriptive, applied, and historical approaches to language across all levels of analysis. ARBITRATION vs Ecology, Evolution, Behavior and Systematics [Agricultural and Biological Sciences]: this card owns the evolution, structure, and diversity of human language as a communicative/cultural system; the biological evolution of non-human communication and behavior belongs to Ecology, Evolution, Behavior and Systematics (1105).","phonology, morphology, syntax, semantics, pragmatics; historical and comparative linguistics; sociolinguistics and language variation; psycholinguistics and language acquisition; computational and corpus linguistics; philology and classical language studies; language typology and evolution; translation and discourse studies","literary criticism and analysis of literary works -> Literature and Literary Theory ; pedagogy and classroom language teaching methods -> Education ; the biological evolution of non-human animal communication and behavior, studied as evolutionary biology rather than human language structure/use -> Ecology, Evolution, Behavior and Systematics",Language; Journal of Linguistics; Linguistic Inquiry; Applied Linguistics; Journal of Pragmatics,https://en.wikipedia.org/wiki/Linguistics,high
1204,Archeology,Arts and Humanities,"Study of past human societies and cultures through material remains: excavation, artifacts, sites, and monuments, spanning prehistoric to historic-period archaeology, archaeological method and science, and landscape/archaeoastronomy studies. ARBITRATION vs Archeology [Social Sciences] (3302): humanistic, art-historical, classical/philological, and heritage-as-culture interpretation of the past stays here; anthropological-method, settlement/society-focused, and archaeometric/scientific archaeology goes to the Social Sciences twin.",excavation and field archaeology; artifact and material culture analysis; prehistoric and historic-period archaeology; interpretation of dated material culture within historical and art-historical frameworks; landscape and settlement archaeology; archaeoastronomy; underwater/maritime archaeology,"documentary/textual history without a material-remains focus -> History ; classical philology and literature of ancient Greece and Rome -> Classics ; settlement-pattern, social-organization, subsistence/technology, and anthropological-method archaeology, including archaeometric and quantitative/scientific analysis, where a social-scientific rather than humanistic/historical framing is primary -> Archeology",Journal of Archaeological Science; American Journal of Archaeology; Antiquity; World Archaeology,https://en.wikipedia.org/wiki/Archaeology,high
1205,Classics,Arts and Humanities,"The study of the languages, literature, history, and culture of ancient Greece and Rome, and closely related ancient Mediterranean civilizations. Covers classical philology, ancient history, classical literature and reception, and the broader medieval/Byzantine and Renaissance traditions that carry classical influence forward.",ancient Greek and Latin literature and philology; Greco-Roman history and civilization; classical reception and tradition; Byzantine studies; medieval and early-modern continuations of classical culture; classical archaeology and material culture (textual/cultural framing),"archaeological excavation, artifact analysis, and material-culture methods as the primary focus -> Archeology ; general literary theory and literature not tied to the classical/ancient world -> Literature and Literary Theory ; general historical scholarship not centered on antiquity or its classical reception -> History",Classical Quarterly; American Journal of Philology; Journal of Roman Studies; Greece & Rome,https://en.wikipedia.org/wiki/Classics,high
1206,Conservation,Arts and Humanities,"Study and practice of preserving, conserving, and restoring cultural heritage: artworks, artifacts, monuments, and historic sites, including conservation science, heritage-materials analysis, and preventive conservation in museums and heritage institutions. This is heritage/cultural conservation, distinct from nature/biodiversity conservation.",conservation and restoration of artworks and artifacts; heritage materials science and analysis; preventive conservation in museums; conservation of historic buildings and monuments; conservation ethics and theory; digital documentation for heritage conservation,"biodiversity and nature/wildlife conservation biology -> Ecology, Evolution, Behavior and Systematics ; general museum curatorial and collections-management practice -> Museology",Studies in Conservation; Journal of the American Institute for Conservation; Heritage Science,https://en.wikipedia.org/wiki/Conservation_and_restoration_of_cultural_heritage,medium
1207,History and Philosophy of Science,Arts and Humanities,"Study of the historical development of scientific ideas, institutions, and practices, and the philosophical examination of scientific method, knowledge, and reasoning, including the history of specific scientific disciplines and the intellectual/biographical history of scientists.","history of specific sciences (physics, medicine, biology, etc.); philosophy of science and scientific method; history of scientific institutions and practice; biographical/intellectual history of scientists; epistemology of scientific knowledge; historical science-and-society studies",general philosophy not focused on science -> Philosophy ; teaching/pedagogy of a discipline (e.g. history of mathematics education framed as instructional practice) -> Education,Isis; British Journal for the Philosophy of Science; Studies in History and Philosophy of Science,https://en.wikipedia.org/wiki/History_and_philosophy_of_science,high
1208,Literature and Literary Theory,Arts and Humanities,"The study, interpretation, and theorization of literary texts across languages and periods. Covers literary criticism and theory, national and comparative literatures, literary history, and discourse/narrative analysis applied to literary or cultural texts.","literary criticism and theory; national and comparative literature; literary history and periodization; narrative and discourse analysis of texts; postcolonial and cultural literary studies; literature in media and adaptation studies (film, digital, transmedia)","ancient Greco-Roman literature and philology specifically -> Classics ; general linguistics not focused on literary texts -> Language and Linguistics ; literacy pedagogy, reading/writing instruction and language-of-instruction policy -> Education",PMLA; Comparative Literature; New Literary History,https://en.wikipedia.org/wiki/Literary_theory,high
1209,Museology,Arts and Humanities,"The theory and practice of museums, cultural heritage, and collections. Covers museum studies and curation, cultural heritage preservation and interpretation, exhibition design, and the broader study of material and visual culture as it relates to collecting and public display.","museum studies and curation; cultural heritage preservation and interpretation; exhibition design and practice; collections management; material and visual culture studies tied to display/heritage; display, conservation and interpretation of craft and design heritage in collections",archaeological excavation and artifact analysis as the primary focus (as opposed to museum display/heritage interpretation) -> Archeology ; conservation science/technique for heritage objects as a technical discipline -> Conservation,Museum Management and Curatorship; Museum International; Journal of Museum Education,https://en.wikipedia.org/wiki/Museology,high
1210,Music,Arts and Humanities,"The study, history, theory, and practice of music, including musicology, composition, performance, and the cultural and educational dimensions of musical life.",music theory and analysis; music history and historiography; ethnomusicology; composition and performance studies; music psychology and cognition; music education; organology and instrument studies,film/screen soundtrack and multimedia performance studies -> Visual Arts and Performing Arts,Journal of the American Musicological Society; Music Theory Spectrum; Ethnomusicology; Journal of Music Theory,https://en.wikipedia.org/wiki/Musicology,high
1211,Philosophy,Arts and Humanities,"The systematic study of fundamental questions about knowledge, existence, value, and reason. Covers ethics, epistemology, metaphysics, logic, and the major historical and contemporary traditions of philosophical thought, including rhetoric and argumentation when framed philosophically.",ethics and moral philosophy; epistemology and metaphysics; logic and argumentation; history of philosophy and philosophical traditions; philosophy of mind and language; rhetoric and philosophical discourse analysis,"philosophy specifically of scientific method, knowledge, and practice, and the history of science -> History and Philosophy of Science",Mind; Journal of Philosophy; Philosophical Review; Ethics,https://en.wikipedia.org/wiki/Philosophy,high
1212,Religious studies,Arts and Humanities,"The academic, comparative, and historical study of religions, religious traditions, beliefs, institutions, and practices, including theology as an object of scholarly study rather than devotional practice. Covers world religions, new and emerging religious movements, and the history and sociology of religion.",comparative religion; theology and religious philosophy; history of religions and denominations; sociology and anthropology of religion; religious movements and revivalism; sacred texts and scripture studies; religious ethics,"religion, ritual, or belief analyzed primarily as a cultural-identity, popular-culture, or media-representation phenomenon rather than as an object of comparative-religion, theological, or historical-religious scholarship -> Cultural Studies ; ethnographic fieldwork on a society's total kinship, ritual, and social organization, where religious practice is one component of a broader anthropological account rather than the primary object of study -> Anthropology ; documentary/political history of religious institutions, denominations, or events studied as historical narrative rather than as comparative or theological religious studies -> History",Journal of Religion; Religious Studies; Journal for the Scientific Study of Religion; Numen,https://en.wikipedia.org/wiki/Religious_studies,high
1213,Visual Arts and Performing Arts,Arts and Humanities,"The study, history, theory, and practice of visual arts (painting, sculpture, photography, film, design) and performing arts (theatre, dance, performance), including art criticism, aesthetics, and visual/material culture.",art history and theory; film and cinema studies; theatre and drama studies; dance studies; visual and material culture studies; aesthetics and art criticism; art education; curatorial and museum studies,"music composition, theory, and musicology -> Music",Art Bulletin; October; Theatre Journal; Dance Research Journal,https://en.wikipedia.org/wiki/Visual_arts,high
1302,Aging,"Biochemistry, Genetics and Molecular Biology","The biology of aging and senescence at molecular, cellular, and organismal levels, including the mechanisms that drive age-related decline and the pathways that modulate lifespan and healthspan.","cellular senescence; telomere biology; longevity and lifespan-extension pathways (sirtuins, mTOR, IGF-1); geroscience and biomarkers of aging; oxidative stress and aging; model-organism aging studies (yeast, worm, fly, mouse); age-related molecular and epigenetic changes",clinical geriatric care and patient management -> Geriatrics and Gerontology,Aging Cell; Aging (Albany NY); GeroScience; Mechanisms of Ageing and Development,https://en.wikipedia.org/wiki/Senescence,high
1303,Biochemistry,"Biochemistry, Genetics and Molecular Biology","The chemistry of biological molecules and processes: enzyme mechanisms, metabolic pathways, and the structure and reactivity of proteins, lipids, carbohydrates, and nucleic acids, studied primarily at the chemical/biophysical level rather than through gene regulation. ARBITRATION vs Biochemistry [Medicine]: fundamental, mechanism-first chemistry of biomolecules (enzyme kinetics, metabolic pathway chemistry, bioenergetics) studied for its own biochemical interest stays here; biochemistry framed around a human disease mechanism, disease biomarker, or clinical/biomedical outcome belongs to Biochemistry [Medicine].","enzyme kinetics and catalytic mechanisms; metabolic pathways and metabolomics; protein biochemistry and structure; lipid, carbohydrate, and nucleic acid chemistry; bioenergetics; biochemical analytical and assay methods",gene expression and transcriptional/translational regulation mechanisms -> Molecular Biology ; diagnostic and disease-marker biochemistry in a clinical/lab-medicine context -> Clinical Biochemistry ; biochemistry framed around a human disease MECHANISM or clinical outcome (laboratory diagnostics and assay-based disease markers go to Clinical Biochemistry instead) -> Biochemistry,Journal of Biological Chemistry; Biochemistry; Biochemical Journal; FEBS Journal,https://en.wikipedia.org/wiki/Biochemistry,high
1304,Biophysics,"Biochemistry, Genetics and Molecular Biology","The application of physical principles, methods, and instrumentation to biological molecules and systems, including structural biology, biomolecular dynamics, and quantitative biophysical measurement.","structural biology (X-ray crystallography, cryo-EM, NMR); molecular dynamics and computational biophysics; membrane and single-molecule biophysics; bioenergetics and biophysical chemistry; biomechanics at the molecular/cellular scale; spectroscopic and imaging biophysical methods",clinical medical imaging devices and instrumentation -> Biomedical Engineering,Biophysical Journal; Journal of Molecular Biology; Nature Structural & Molecular Biology; Biophysical Reviews,https://en.wikipedia.org/wiki/Biophysics,high
1305,Biotechnology,"Biochemistry, Genetics and Molecular Biology","The applied use of biological systems, organisms, or their components to develop products, processes, and industrial technologies, spanning fermentation, bioprocessing, enzyme engineering, and applied microbial/agricultural biotechnology.","industrial fermentation and bioprocessing; enzyme engineering and industrial applications; biotechnological process and product engineering (including with microbial hosts) where the engineered product or process design, not the microbe's own biology or cultivation, is the contribution; natural product discovery and bioprospecting where the engineered production process or product is the contribution; recombinant protein and antibody production; agricultural and food biotechnology","basic mechanistic gene-function research without an applied/product goal -> Molecular Biology ; medical devices and biomaterials for clinical use -> Biomedical Engineering ; work in which an assay, purification or culture protocol is merely the method - an applied product, process or industrial goal is what makes a topic Biotechnology -> Biochemistry ; bioprospecting and natural-product work where the producing organism is a microorganism and the contribution is the microbial process or its cultivation -> Applied Microbiology and Biotechnology",Biotechnology and Bioengineering; Trends in Biotechnology; Applied Microbiology and Biotechnology; Journal of Biotechnology,https://en.wikipedia.org/wiki/Biotechnology,high
1306,Cancer Research,"Biochemistry, Genetics and Molecular Biology","The biology of cancer: oncogenesis, tumor biology, cancer genomics, metastasis, and the molecular and cellular mechanisms specific to malignant transformation and tumor progression, spanning basic and translational research.",oncogenes and tumor-suppressor pathways; tumor microenvironment and metastasis; cancer genomics and mutational landscapes; cancer cell signaling and carcinogenesis; cancer biomarkers; basic tumor immunology,"gene-regulation mechanisms not specific to cancer -> Molecular Biology ; clinical oncology treatment, trials, and patient management -> Oncology",Cancer Research; Nature Reviews Cancer; Cancer Cell; Oncogene,https://en.wikipedia.org/wiki/Cancer_research,high
1307,Cell Biology,"Biochemistry, Genetics and Molecular Biology","The structure, organization, and function of cells and their organelles, including intracellular processes such as signaling, division, transport, and adhesion studied at the whole-cell level. ARBITRATION vs Genetics [Biochemistry, Genetics and Molecular Biology]: general, cross-cutting whole-cell and whole-organism biology of a research model system belongs here; the same model system studied through a genetic-screen or genomics-centred lens belongs to Genetics. ARBITRATION vs Developmental Biology [Biochemistry, Genetics and Molecular Biology]: embryogenesis, morphogenesis, and organogenesis studied for their own sake belong to Developmental Biology (1309); this card keeps general cell-level structure/function and cross-cutting model-organism biology.","organelle structure and function; cytoskeleton and cell motility; cell signaling pathways; cell cycle and division; membrane trafficking and vesicular transport; cell adhesion and junctions; stem cell biology; cellular stress responses; general whole-cell and whole-organism biology of research model systems, studied broadly rather than through any single downstream application","DNA/RNA-level mechanisms of transcription, replication, and gene regulation -> Molecular Biology ; embryogenesis, morphogenesis, organogenesis and other developmental-biology processes studied for their own sake -> Developmental Biology",Journal of Cell Biology; Cell; Nature Cell Biology; Molecular Biology of the Cell,https://en.wikipedia.org/wiki/Cell_biology,high
1308,Clinical Biochemistry,"Biochemistry, Genetics and Molecular Biology","The biochemical basis of disease as applied in clinical diagnostics: laboratory analysis of blood and body-fluid biomarkers, clinical enzymology, and biochemical methods used in laboratory medicine.",clinical biomarkers and diagnostic assays; clinical enzymology; laboratory medicine and biochemical testing methods; reference intervals and analytical validation; point-of-care biochemical testing; biochemical disease-marker discovery,"basic, non-clinical enzyme and metabolic chemistry -> Biochemistry",Clinical Chemistry; Clinical Biochemistry; Annals of Clinical Biochemistry; Clinica Chimica Acta,https://en.wikipedia.org/wiki/Clinical_chemistry,high
1309,Developmental Biology,"Biochemistry, Genetics and Molecular Biology","The biological processes by which organisms grow and develop from fertilization to maturity, including embryogenesis, morphogenesis, cell-fate determination, and organogenesis. ARBITRATION vs Cell Biology [Biochemistry, Genetics and Molecular Biology]: this card owns embryogenesis, morphogenesis, and organogenesis; general whole-cell/whole-organism biology of a model system where development is not the specific focus belongs to Cell Biology (1307).",embryogenesis; morphogenesis and pattern formation; cell-fate determination and differentiation; organogenesis; developmental signaling pathways; regeneration biology; evolutionary developmental biology (evo-devo),adult stem-cell biology and regenerative medicine applications outside a developmental context -> Cell Biology ; gene-regulatory mechanism studies without a developmental focus -> Molecular Biology ; biology of a research model system where development is not the specific focus (general whole-cell/whole-organism or genetic/genomic framing) -> Cell Biology,Development; Developmental Biology; Developmental Cell; Genes & Development,https://en.wikipedia.org/wiki/Developmental_biology,high
1310,Endocrinology,"Biochemistry, Genetics and Molecular Biology","The biology of hormones and endocrine glands: hormone synthesis, secretion, and signaling, and the endocrine regulation of metabolism, growth, and physiology, including molecular mechanisms of hormone action.","hormone signaling and receptor biology; endocrine gland physiology; metabolic hormone regulation (insulin, thyroid, steroid hormones); neuroendocrinology; reproductive endocrinology; endocrine disruptors","clinical management of endocrine disease (diabetes, thyroid disorders) -> Endocrinology, Diabetes and Metabolism ; general (non-hormonal) metabolic biochemistry -> Biochemistry ; clinical diabetes, obesity, thyroid and metabolic disease management -> Endocrinology, Diabetes and Metabolism ; neuroendocrine and autonomic control of physiological state and behaviour -> Endocrine and Autonomic Systems",Endocrinology; Journal of Clinical Endocrinology & Metabolism; Molecular and Cellular Endocrinology; Trends in Endocrinology & Metabolism,https://en.wikipedia.org/wiki/Endocrinology,medium
1311,Genetics,"Biochemistry, Genetics and Molecular Biology","The study of heredity, gene function, and genetic variation, including classical and population genetics, genomics, genetic epidemiology, and applied genetics in humans, animals, and plants. ARBITRATION vs Genetics [Medicine]: basic heredity, population/quantitative genetics, genomics methodology, and non-human (animal/plant/livestock) genetics stay here; human clinical genetics, hereditary-disease diagnosis, genetic testing/counseling, and gene-disease association work framed around patient risk belong to Genetics [Medicine].","population and quantitative genetics; genetic epidemiology and GWAS; genomics and genome analysis; heredity and inheritance patterns; forensic genetics; genetic diversity and structure within and between populations of a species; human, animal, and livestock genetics","molecular/biochemical mechanisms of gene expression and regulation -> Molecular Biology ; evolutionary and ecological processes of genetic variation in natural populations -> Ecology, Evolution, Behavior and Systematics ; human clinical/medical genetics: hereditary disease diagnosis, genetic testing and counseling, and gene-disease association studies framed around individual patient risk or health outcome -> Genetics",Nature Genetics; Genetics; American Journal of Human Genetics; PLOS Genetics,https://en.wikipedia.org/wiki/Genetics,high
1312,Molecular Biology,"Biochemistry, Genetics and Molecular Biology","The molecular mechanisms underlying gene expression, protein structure and function, and signal transduction at the DNA/RNA/protein level, including transcriptional and translational regulation, RNA biology, and molecular signaling pathways.",gene expression and transcriptional regulation; protein structure-function and protein-protein interactions; signal transduction pathways; RNA biology; epigenetics; molecular mechanisms of disease; receptor and enzyme molecular mechanisms,whole-cell and organelle-level processes -> Cell Biology ; heredity and population-level genetic variation -> Genetics ; chemistry of metabolism and small-molecule biochemistry -> Biochemistry ; cancer-specific oncogenic mechanisms -> Cancer Research ; drug-receptor pharmacodynamics and pharmacokinetics -> Pharmacology ; plant-specific molecular processes -> Plant Science,Molecular Cell; Cell; Nature; EMBO Journal; Journal of Biological Chemistry,https://en.wikipedia.org/wiki/Molecular_biology,high
